"","...1","symbol","date","open","high","low","close","volume","adjusted","name","currency","exchange","industry","logo","weburl","environment_grade","environment_level","social_grade","social_level","governance_grade","governance_level","environment_score","social_score","governance_score","total_score","last_processing_date","total_grade","total_level","cik","baseline_price","after_shock","day","log_price","Industrials","Health Care","Information Technology","Utilities","Financials","Materials","Consumer Discretionary","Real Estate","Communication Services","Consumer Staples","Energy"
"1",1,"MMM",2022-10-10,90.7441482543945,91.2374572753906,89.6237487792969,90.6856155395508,3088550,80.1804962158203,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,0,4.50739875071301,1,0,0,0,0,0,0,0,0,0,0
"2",2,"MMM",2022-10-11,90.7190628051758,92.349494934082,90.2591934204102,91.0033416748047,3462898,80.4614105224609,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,1,4.51089622754378,1,0,0,0,0,0,0,0,0,0,0
"3",3,"MMM",2022-10-12,90.7775955200195,91.7224044799805,90.5100326538086,91.0953216552734,3290196,80.5427322387695,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,2,4.51190644899855,1,0,0,0,0,0,0,0,0,0,0
"4",4,"MMM",2022-10-13,89.882942199707,96.0117034912109,89.5234146118164,95.5351181030273,5708149,84.4682159423828,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,3,4.55949390871852,1,0,0,0,0,0,0,0,0,0,0
"5",5,"MMM",2022-10-14,95.5351181030273,96.2876281738281,94.3561859130859,95.0083618164062,4137323,84.0024948120117,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,4,4.55396490684715,1,0,0,0,0,0,0,0,0,0,0
"6",6,"MMM",2022-10-17,96.4130401611328,96.7558517456055,94.7240829467773,95.2006683349609,3592186,84.1725234985352,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,7,4.5559869620979,1,0,0,0,0,0,0,0,0,0,0
"7",7,"MMM",2022-10-18,96.772575378418,97.3244171142578,95.693977355957,96.9481582641602,3066544,85.7175750732422,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,8,4.57417638474866,1,0,0,0,0,0,0,0,0,0,0
"8",8,"MMM",2022-10-19,96.2374572753906,96.7224044799805,94.6822738647461,95.4849472045898,3084006,84.4238662719727,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,9,4.55896861416886,1,0,0,0,0,0,0,0,0,0,0
"9",9,"MMM",2022-10-20,95.3010025024414,96.6973266601562,94.3896331787109,94.5735778808594,3758908,83.6180877685547,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,10,4.54937813346033,1,0,0,0,0,0,0,0,0,0,0
"10",10,"MMM",2022-10-21,94.6070251464844,97.7759170532227,94.5234146118164,97.6672210693359,3997630,86.3533477783203,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,11,4.58156599681069,1,0,0,0,0,0,0,0,0,0,0
